"","X","id","childs","age","agekdbrn","educ","class","memnum","racehisp","geography","religion","place","female","degree","agekdbrn_30plus"
"439",439,637,2,51,32,16,"Middle class",2,"White","Big city","Protestant","Southeast","No","College Degree",1
"440",440,638,0,45,NA,16,"Working class",0,"White","Big city","Other","Southeast","No","College Degree",NA
"441",441,639,2,40,31,18,"Middle class",5,"Black","Big city","Protestant","Southeast","Yes","Grad/Prof Degree",1
"442",442,642,1,57,22,19,"Middle class",2,"White","Big city","Protestant","Southeast","No","Grad/Prof Degree",0
"443",443,642,0,44,NA,18,"Working class",7,"White","Suburb","Catholic","Southeast","Yes","Grad/Prof Degree",NA
"444",444,643,3,48,18,12,"Working class",1,"Hispanic","Suburb","Protestant","Southeast","Yes","HS Diploma",0
"445",445,645,3,31,21,7,"Working class",0,"Hispanic","Suburb","Catholic","Southeast","Yes","Less Than HS",0
"446",446,647,5,36,NA,12,"Working class",2,"Black","Big city","Protestant","Southeast","No","HS Diploma",NA
"447",447,651,3,53,16,10,"Middle class",0,"White","Suburb","Catholic","Southeast","Yes","Less Than HS",0
"448",448,651,1,43,NA,16,"Working class",3,"Black","Big city","Protestant","Southeast","Yes","College Degree",NA
"449",449,653,2,56,24,15,"Working class",1,"Black","Big city","Protestant","Southeast","No","Some College",0
"450",450,654,2,40,39,16,"Working class",0,"Hispanic","Big city","Catholic","Southeast","Yes","College Degree",1
"451",451,655,3,74,26,12,"Middle class",2,"White","Big city","Protestant","Southeast","Yes","HS Diploma",0
"452",452,656,4,61,20,12,"Middle class",1,"White","Big city","Protestant","Southeast","Yes","HS Diploma",0
"453",453,658,1,23,NA,14,"Middle class",6,"Black","Suburb","Other","Southeast","No","Some College",NA
"454",454,658,5,29,21,12,"Lower class",1,"Black","Big city","Other","Southeast","Yes","HS Diploma",0
"455",455,659,2,52,25,13,"Working class",3,"Black","Big city","Protestant","Southeast","Yes","Some College",0
"456",456,660,0,24,NA,18,"Working class",0,"Black","Big city","None","Southeast","Yes","Grad/Prof Degree",NA
"457",457,662,3,36,23,14,"Working class",0,"Black","Big city","Protestant","Southeast","No","Some College",0
"458",458,664,0,27,NA,16,"Lower class",0,"Black","Big city","Protestant","Southeast","Yes","College Degree",NA
"459",459,666,2,38,23,16,"Middle class",8,"White","Big city","Catholic","Southeast","No","College Degree",0
"460",460,669,2,50,24,18,"Middle class",3,"White","Big city","Catholic","Southeast","Yes","Grad/Prof Degree",0
"461",461,671,0,28,NA,15,"Middle class",0,"White","Big city","None","Southeast","Yes","Some College",NA
"462",462,672,0,24,NA,17,"Working class",0,"Hispanic","Big city","None","Northeast","No","Grad/Prof Degree",NA
"463",463,676,3,48,21,12,"Working class",2,"White","Suburb","Catholic","Northeast","No","HS Diploma",0
"464",464,676,0,34,NA,19,"Middle class",1,"White","Suburb","None","Southeast","No","Grad/Prof Degree",NA
"465",465,677,0,44,NA,20,"Upper class",3,"White","Suburb","None","Southeast","No","Grad/Prof Degree",NA
"466",466,678,3,41,33,14,"Middle class",2,"White","Suburb","Catholic","Northeast","No","Some College",1
"467",467,679,2,46,31,12,"Middle class",0,"White","Suburb","Protestant","Northeast","Yes","HS Diploma",1
"468",468,682,3,35,NA,11,"Lower class",0,"Black","Suburb","Other","Southeast","Yes","Less Than HS",NA
"469",469,682,2,67,29,14,"Working class",0,"White","Suburb","Jewish","Northeast","No","Some College",0
"470",470,683,0,26,NA,11,"Lower class",1,"White","Suburb","Catholic","Northeast","No","Less Than HS",NA
"471",471,683,0,25,NA,14,"Working class",1,"Other","Suburb","Other","Southeast","No","Some College",NA
"472",472,684,4,63,24,15,"Upper class",2,"White","Suburb","Catholic","Northeast","Yes","Some College",0
"473",473,686,2,47,26,15,"Middle class",0,"White","Big city","Catholic","Northeast","Yes","Some College",0
"474",474,687,0,26,NA,15,"Middle class",0,"Other","Big city","Other","Northeast","No","Some College",NA
"475",475,688,2,67,26,17,"Middle class",2,"White","Big city","Catholic","Northeast","Yes","Grad/Prof Degree",0
"476",476,690,0,26,NA,16,"Middle class",3,"Other","Suburb","Protestant","Northeast","Yes","College Degree",NA
"477",477,691,2,57,32,16,"Middle class",3,"White","Smaller city","Catholic","Northeast","No","College Degree",1
"478",478,692,4,54,21,15,"Lower class",0,"White","Smaller city","Catholic","Northeast","Yes","Some College",0
"479",479,694,2,30,27,12,"Working class",2,"Black","Suburb","Protestant","Southeast","Yes","HS Diploma",0
"480",480,694,0,72,NA,6,"Middle class",1,"White","Suburb","Protestant","Southeast","No","Less Than HS",NA
"481",481,697,1,45,NA,14,"Middle class",3,"White","Big city","Catholic","Southeast","No","Some College",NA
"482",482,698,4,32,16,11,"Lower class",0,"Hispanic","Suburb","Catholic","Southeast","Yes","Less Than HS",0
"483",483,699,3,40,24,12,"Middle class",2,"Black","Suburb","Other","Southeast","Yes","HS Diploma",0
"484",484,700,0,29,NA,14,"Working class",0,"Black","Suburb","Protestant","Southeast","No","Some College",NA
"485",485,701,3,38,16,14,"Middle class",1,"Black","Suburb","Protestant","Southeast","Yes","Some College",0
"486",486,705,3,56,19,12,"Lower class",0,"Black","Suburb","Protestant","Southeast","Yes","HS Diploma",0
"487",487,706,0,20,NA,12,"Working class",0,"Black","Suburb","Protestant","Southeast","No","HS Diploma",NA
"488",488,708,0,29,NA,12,"Working class",3,"Black","Suburb","Protestant","Southeast","No","HS Diploma",NA
"489",489,709,2,26,NA,12,"Middle class",5,"White","Big city","Catholic","Southeast","No","HS Diploma",NA
"490",490,710,1,22,20,11,"Working class",1,"White","Suburb","Protestant","Southeast","Yes","Less Than HS",0
"491",491,712,3,53,NA,12,"Middle class",1,"White","Big city","Catholic","Southeast","No","HS Diploma",NA
"492",492,713,2,65,25,12,"Middle class",0,"White","Suburb","None","Southeast","No","HS Diploma",0
"493",493,714,2,51,23,13,"Working class",0,"White","Suburb","Protestant","Southeast","Yes","Some College",0
"494",494,715,2,47,16,9,"Working class",0,"White","Suburb","Protestant","Southeast","Yes","Less Than HS",0
"495",495,717,0,26,NA,16,"Middle class",1,"White","Suburb","Catholic","Southeast","Yes","College Degree",NA
"496",496,718,2,39,25,18,"Working class",3,"Black","Suburb","Protestant","Southeast","Yes","Grad/Prof Degree",0
"497",497,719,3,47,NA,16,"Middle class",4,"White","Suburb","Catholic","Southeast","No","College Degree",NA
"498",498,719,3,52,22,12,"Middle class",0,"White","Suburb","Protestant","Southeast","Yes","HS Diploma",0
"499",499,723,0,65,NA,16,"Middle class",0,"White","Suburb","None","Southeast","Yes","College Degree",NA
"500",500,724,2,50,33,10,"Working class",0,"White","Suburb","Other","Southeast","Yes","Less Than HS",1
"501",501,726,3,57,26,16,"Middle class",2,"White","Suburb","Protestant","Southeast","Yes","College Degree",0
"502",502,729,0,43,NA,13,"Upper class",5,"White","Smaller city","Protestant","Southeast","No","Some College",NA
"503",503,730,2,42,30,14,"Working class",0,"White","Smaller city","Catholic","Southeast","No","Some College",1
"504",504,730,2,79,NA,12,"Middle class",1,"White","Smaller city","Protestant","Southeast","Yes","HS Diploma",NA
"505",505,733,3,50,17,12,"Working class",0,"White","Suburb","Protestant","West","No","HS Diploma",0
"506",506,734,0,19,NA,14,"Middle class",7,"White","Suburb","Catholic","West","Yes","Some College",NA
"507",507,735,3,57,32,14,"Working class",1,"Black","Suburb","Protestant","West","No","Some College",1
"508",508,738,0,36,NA,16,"Middle class",4,"White","Big city","Catholic","Northeast","No","College Degree",NA
"509",509,742,3,45,28,13,"Middle class",0,"White","Big city","Protestant","West","Yes","Some College",0
"510",510,744,1,51,NA,14,"Middle class",4,"White","Smaller city","Catholic","Northeast","No","Some College",NA
"511",511,744,3,68,27,16,"Middle class",1,"White","Suburb","Protestant","West","No","College Degree",0
"512",512,746,2,35,30,13,"Middle class",2,"White","Suburb","Protestant","West","Yes","Some College",1
"513",513,748,4,75,NA,17,"Middle class",8,"White","Smaller city","Catholic","Northeast","Yes","Grad/Prof Degree",NA
"514",514,748,0,34,NA,15,"Middle class",1,"White","Suburb","Protestant","West","No","Some College",NA
"515",515,750,2,56,NA,16,"Middle class",2,"White","Smaller city","Catholic","Northeast","Yes","College Degree",NA
"516",516,751,2,60,20,14,"Middle class",0,"White","Big city","None","West","Yes","Some College",0
"517",517,752,1,72,NA,12,"Middle class",0,"White","Smaller city","Protestant","Northeast","Yes","HS Diploma",NA
"518",518,755,3,61,NA,13,"Middle class",0,"White","Suburb","Catholic","Southeast","No","Some College",NA
"519",519,756,2,30,18,12,"Working class",4,"White","Suburb","Protestant","Southeast","Yes","HS Diploma",0
"520",520,758,2,62,29,12,"Middle class",1,"White","Suburb","Protestant","Southeast","No","HS Diploma",0
"521",521,759,0,33,NA,16,"Middle class",5,"White","Suburb","Protestant","Southeast","No","College Degree",NA
"522",522,761,0,37,NA,13,"Working class",2,"White","Suburb","Catholic","Northeast","No","Some College",NA
"523",523,763,0,46,NA,15,"Working class",6,"White","Smaller city","Other","Southeast","Yes","Some College",NA
"524",524,763,0,70,NA,14,"Lower class",1,"White","Suburb","Other","Northeast","No","Some College",NA
"525",525,764,5,45,18,10,"Lower class",0,"Black","Smaller city","Other","Southeast","No","Less Than HS",0
"526",526,764,4,55,NA,16,"Working class",5,"White","Suburb","Protestant","Northeast","Yes","College Degree",NA
"527",527,767,0,23,NA,16,"Working class",7,"Black","Suburb","Protestant","Southeast","Yes","College Degree",NA
"528",528,768,2,56,27,17,"Working class",5,"Hispanic","Suburb","None","Southeast","Yes","Grad/Prof Degree",0
"529",529,769,2,34,22,11,"Working class",1,"Black","Smaller city","Other","Midwest","Yes","Less Than HS",0
"530",530,770,1,41,24,16,"Middle class",6,"Black","Smaller city","Protestant","Midwest","No","College Degree",0
"531",531,773,0,44,NA,16,"Upper class",1,"White","Smaller city","Protestant","Midwest","No","College Degree",NA
"532",532,777,2,55,21,14,"Middle class",0,"White","Smaller city","Catholic","Midwest","No","Some College",0
"533",533,780,2,32,25,16,"Working class",6,"White","Suburb","Catholic","Midwest","Yes","College Degree",0
"534",534,781,1,42,41,16,"Middle class",0,"White","Suburb","Protestant","Midwest","No","College Degree",1
"535",535,782,1,32,NA,17,"Working class",1,"White","Suburb","Protestant","Southeast","No","Grad/Prof Degree",NA
"536",536,783,1,46,34,14,"Working class",3,"White","Suburb","Catholic","Midwest","No","Some College",1
"537",537,784,2,48,NA,16,"Upper class",2,"White","Suburb","Protestant","Southeast","Yes","College Degree",NA
"538",538,784,2,53,19,12,"Middle class",1,"White","Suburb","Protestant","Midwest","Yes","HS Diploma",0
"539",539,788,2,52,23,18,"Middle class",1,"White","Suburb","Protestant","Midwest","Yes","Grad/Prof Degree",0
"540",540,789,0,29,NA,17,"Middle class",1,"White","Suburb","Jewish","Midwest","No","Grad/Prof Degree",NA
"541",541,790,2,40,30,20,"Middle class",5,"White","Suburb","Protestant","Midwest","No","Grad/Prof Degree",1
"542",542,794,0,57,NA,16,"Middle class",2,"White","Suburb","Protestant","Midwest","No","College Degree",NA
"543",543,795,1,28,22,12,"Working class",3,"Hispanic","Suburb","Catholic","Midwest","Yes","HS Diploma",0
"544",544,795,2,39,NA,13,"Upper class",2,"White","Suburb","Catholic","Southeast","Yes","Some College",NA
"545",545,797,0,39,NA,20,"Upper class",3,"White","Suburb","Protestant","Southeast","No","Grad/Prof Degree",NA
"546",546,797,0,48,NA,17,"Working class",2,"White","Smaller city","Protestant","Midwest","Yes","Grad/Prof Degree",NA
"547",547,798,4,59,22,14,"Middle class",1,"White","Smaller city","Protestant","Midwest","Yes","Some College",0
"548",548,798,3,36,NA,16,"Upper class",3,"White","Suburb","Protestant","Southeast","No","College Degree",NA
"549",549,799,4,78,26,12,"Lower class",1,"White","Smaller city","Protestant","Midwest","Yes","HS Diploma",0
"550",550,800,3,44,NA,15,"Upper class",4,"White","Suburb","Catholic","Southeast","Yes","Some College",NA
"551",551,800,4,66,23,15,"Middle class",3,"White","Smaller city","Protestant","Midwest","No","Some College",0
"552",552,801,2,36,26,18,"Middle class",6,"White","Smaller city","Protestant","Midwest","Yes","Grad/Prof Degree",0
"553",553,803,4,60,19,17,"Middle class",4,"White","Smaller city","Protestant","Southeast","Yes","Grad/Prof Degree",0
"554",554,805,2,33,NA,16,"Middle class",2,"Other","Suburb","Other","Southeast","Yes","College Degree",NA
"555",555,805,2,44,19,14,"Working class",0,"White","Smaller city","Protestant","Southeast","Yes","Some College",0
"556",556,808,3,41,24,14,"Working class",1,"White","Smaller city","Protestant","Southeast","Yes","Some College",0
"557",557,811,0,28,NA,18,"Middle class",5,"White","Smaller city","Protestant","Southeast","Yes","Grad/Prof Degree",NA
"558",558,813,2,51,32,16,"Middle class",5,"White","Smaller city","Protestant","Southeast","No","College Degree",1
"559",559,816,0,47,NA,17,"Middle class",6,"White","Smaller city","Protestant","Southeast","Yes","Grad/Prof Degree",NA
"560",560,818,1,25,NA,12,"Middle class",0,"White","Suburb","Protestant","Southeast","Yes","HS Diploma",NA
"561",561,820,0,37,NA,12,"Working class",0,"Black","Suburb","Protestant","Southeast","No","HS Diploma",NA
"562",562,821,1,25,21,14,"Middle class",0,"White","Suburb","Protestant","Southeast","Yes","Some College",0
"563",563,824,0,19,NA,12,"Working class",0,"White","Smaller city","Protestant","Southeast","Yes","HS Diploma",NA
"564",564,825,0,38,NA,17,"Middle class",3,"White","Smaller city","Protestant","Southeast","Yes","Grad/Prof Degree",NA
"565",565,828,3,55,26,16,"Middle class",2,"White","Suburb","Protestant","Southeast","Yes","College Degree",0
"566",566,829,2,32,30,16,"Middle class",1,"White","Suburb","Protestant","Southeast","No","College Degree",1
"567",567,831,2,48,30,12,"Working class",0,"White","Suburb","Protestant","Southeast","No","HS Diploma",1
"568",568,835,0,43,NA,20,"Middle class",3,"White","Smaller city","Protestant","Midwest","No","Grad/Prof Degree",NA
"569",569,835,3,71,NA,16,"Middle class",4,"White","Smaller city","Protestant","Southeast","No","College Degree",NA
"570",570,836,0,23,NA,15,"Middle class",1,"White","Smaller city","Catholic","Midwest","Yes","Some College",NA
"571",571,841,0,19,NA,11,"Working class",7,"White","Suburb","Other","Southeast","No","Less Than HS",NA
"572",572,841,1,62,20,17,"Middle class",1,"White","Suburb","Protestant","Midwest","No","Grad/Prof Degree",0
"573",573,842,3,65,NA,11,"Working class",1,"White","Suburb","None","Southeast","Yes","Less Than HS",NA
"574",574,843,3,46,28,16,"Middle class",5,"White","Suburb","Catholic","Midwest","No","College Degree",0
"575",575,844,2,45,32,18,"Upper class",2,"White","Suburb","Protestant","Midwest","Yes","Grad/Prof Degree",1
"576",576,846,0,26,NA,15,"Middle class",0,"White","Suburb","Jewish","Midwest","Yes","Some College",NA
"577",577,847,1,62,25,14,"Middle class",1,"White","Suburb","Jewish","Midwest","Yes","Some College",0
"578",578,848,1,52,32,15,"Middle class",3,"White","Smaller city","Catholic","Southeast","No","Some College",1
"579",579,850,2,64,25,14,"Middle class",1,"White","Smaller city","Protestant","Southeast","No","Some College",0
"580",580,855,1,50,28,16,"Working class",3,"White","Smaller city","Protestant","Southeast","Yes","College Degree",0
"581",581,856,3,72,21,16,"Middle class",3,"White","Smaller city","Protestant","Southeast","Yes","College Degree",0
"582",582,858,2,63,23,16,"Middle class",0,"White","Smaller city","Protestant","Southeast","No","College Degree",0
"583",583,860,0,46,NA,16,"Middle class",2,"White","Smaller city","Protestant","Southeast","Yes","College Degree",NA
"584",584,862,0,33,NA,12,"Middle class",0,"White","Smaller city","Catholic","Southeast","No","HS Diploma",NA
"585",585,862,0,52,NA,15,"Middle class",0,"White","Smaller city","None","Southeast","No","Some College",NA
"586",586,863,0,39,NA,9,"Middle class",0,"Black","Smaller city","Protestant","Southeast","Yes","Less Than HS",NA
"587",587,864,1,27,26,16,"Working class",0,"White","Smaller city","Protestant","Southeast","No","College Degree",0
"588",588,865,3,34,NA,13,"Working class",3,"Black","Smaller city","Protestant","Midwest","Yes","Some College",NA
"589",589,865,8,64,18,8,"Lower class",0,"Hispanic","Smaller city","Catholic","Southeast","Yes","Less Than HS",0
"590",590,868,0,35,NA,12,"Working class",0,"Hispanic","Smaller city","None","Southeast","Yes","HS Diploma",NA
"591",591,869,5,35,13,12,"Working class",0,"Hispanic","Smaller city","Catholic","Southeast","No","HS Diploma",0
"592",592,869,1,33,NA,14,"Working class",4,"Black","Suburb","Protestant","Midwest","Yes","Some College",NA
"593",593,870,4,60,19,14,"Middle class",1,"White","Suburb","Protestant","Southeast","Yes","Some College",0
"594",594,871,4,36,27,17,"Middle class",6,"White","Suburb","Catholic","Southeast","Yes","Grad/Prof Degree",0
"595",595,873,2,38,24,14,"Working class",3,"Hispanic","Suburb","Other","Southeast","Yes","Some College",0
"596",596,873,2,26,NA,14,"Working class",3,"White","Suburb","Protestant","Midwest","No","Some College",NA
"597",597,874,4,41,30,18,"Middle class",3,"White","Suburb","Jewish","Southeast","No","Grad/Prof Degree",1
"598",598,874,2,35,NA,12,"Working class",0,"White","Suburb","Protestant","Midwest","Yes","HS Diploma",NA
"599",599,875,0,69,NA,12,"Middle class",0,"White","Suburb","Jewish","Southeast","Yes","HS Diploma",NA
"600",600,876,2,52,33,18,"Middle class",3,"White","Suburb","Jewish","Southeast","Yes","Grad/Prof Degree",1
"601",601,877,2,31,24,16,"Middle class",4,"White","Suburb","Jewish","Southeast","Yes","College Degree",0
"602",602,878,2,55,35,17,"Middle class",1,"White","Suburb","None","Southeast","No","Grad/Prof Degree",1
"603",603,881,2,86,24,13,"Middle class",2,"White","Suburb","Jewish","Southeast","Yes","Some College",0
"604",604,884,4,79,23,12,"Middle class",0,"White","Suburb","Protestant","Southeast","Yes","HS Diploma",0
"605",605,885,3,33,26,12,"Middle class",1,"White","Suburb","Protestant","Southeast","Yes","HS Diploma",0
"606",606,887,0,26,NA,16,"Working class",0,"White","Suburb","Catholic","Southeast","Yes","College Degree",NA
"607",607,889,1,39,NA,16,"Middle class",1,"White","Suburb","Protestant","Midwest","Yes","College Degree",NA
"608",608,889,2,46,23,13,"Middle class",4,"Black","Suburb","Protestant","Southeast","No","Some College",0
"609",609,890,4,44,NA,17,"Middle class",0,"White","Suburb","Protestant","Midwest","No","Grad/Prof Degree",NA
"610",610,891,0,68,NA,12,"Working class",0,"Black","Smaller city","Protestant","Southeast","Yes","HS Diploma",NA
"611",611,892,0,66,NA,14,"Lower class",6,"Black","Smaller city","Protestant","Southeast","Yes","Some College",NA
"612",612,893,6,66,16,12,"Working class",2,"Black","Smaller city","Protestant","Southeast","Yes","HS Diploma",0
"613",613,895,1,75,17,11,"Working class",0,"Black","Smaller city","Protestant","Southeast","Yes","Less Than HS",0
"614",614,897,2,25,19,14,"Working class",1,"Black","Smaller city","Other","Southeast","Yes","Some College",0
"615",615,897,0,35,NA,19,"Middle class",6,"White","Suburb","Protestant","Midwest","Yes","Grad/Prof Degree",NA
"616",616,898,1,29,24,12,"Working class",0,"Hispanic","Smaller city","Catholic","West","Yes","HS Diploma",0
"617",617,899,1,44,34,14,"Middle class",0,"Hispanic","Smaller city","Catholic","West","No","Some College",1
"618",618,900,0,28,NA,16,"Working class",1,"Hispanic","Smaller city","Catholic","West","Yes","College Degree",NA
"619",619,902,3,78,24,12,"Working class",1,"White","Smaller city","Catholic","West","No","HS Diploma",0
"620",620,903,0,27,NA,12,"Working class",1,"White","Suburb","None","Midwest","Yes","HS Diploma",NA
"621",621,905,6,69,23,18,"Working class",1,"Other","Smaller city","Catholic","West","No","Grad/Prof Degree",0
"622",622,906,2,49,27,16,"Middle class",0,"White","Smaller city","Other","West","No","College Degree",0
"623",623,908,0,35,NA,18,"Working class",0,"White","Smaller city","Protestant","Midwest","Yes","Grad/Prof Degree",NA
"624",624,912,0,22,NA,16,"Middle class",0,"White","Smaller city","None","West","Yes","College Degree",NA
"625",625,914,2,28,19,14,"Working class",1,"Black","Smaller city","Other","West","No","Some College",0
"626",626,915,3,60,30,20,"Upper class",3,"White","Suburb","Protestant","West","No","Grad/Prof Degree",1
"627",627,919,3,64,31,18,"Upper class",0,"White","Suburb","Catholic","West","Yes","Grad/Prof Degree",1
"628",628,920,2,48,34,16,"Middle class",4,"White","Smaller city","None","West","Yes","College Degree",1
"629",629,921,2,63,27,13,"Working class",2,"White","Smaller city","Catholic","West","No","Some College",0
"630",630,923,4,65,NA,12,"Middle class",0,"White","Smaller city","Protestant","Midwest","Yes","HS Diploma",NA
"631",631,924,0,35,NA,18,"Middle class",1,"White","Suburb","Protestant","Midwest","No","Grad/Prof Degree",NA
"632",632,925,0,64,NA,20,"Middle class",2,"White","Smaller city","Catholic","West","No","Grad/Prof Degree",NA
"633",633,927,4,50,26,18,"Middle class",5,"White","Smaller city","Protestant","West","No","Grad/Prof Degree",0
"634",634,928,1,36,23,16,"Middle class",0,"White","Suburb","Other","West","No","College Degree",0
"635",635,930,1,40,NA,14,"Working class",2,"White","Suburb","Protestant","Midwest","Yes","Some College",NA
"636",636,932,3,48,19,13,"Working class",0,"White","Suburb","Eastern","West","No","Some College",0
"637",637,933,4,58,20,14,"Middle class",8,"White","Suburb","Catholic","West","No","Some College",0
"638",638,934,2,35,28,17,"Middle class",0,"Other","Suburb","Eastern","West","Yes","Grad/Prof Degree",0
"639",639,935,0,26,NA,12,"Working class",0,"Other","Suburb","Catholic","West","No","HS Diploma",NA
"640",640,936,0,23,NA,15,"Working class",1,"White","Suburb","None","West","No","Some College",NA
"641",641,938,2,46,NA,15,"Working class",3,"Other","Suburb","Protestant","West","Yes","Some College",NA
"642",642,939,0,51,NA,15,"Working class",1,"White","Suburb","None","West","No","Some College",NA
"643",643,940,1,23,NA,12,"Middle class",0,"Other","Suburb","Protestant","West","No","HS Diploma",NA
"644",644,941,0,29,NA,14,"Working class",2,"White","Suburb","None","West","Yes","Some College",NA
"645",645,942,3,56,18,13,"Working class",0,"White","Suburb","Protestant","West","Yes","Some College",0
"646",646,943,0,40,NA,12,"Middle class",1,"White","Suburb","None","West","Yes","HS Diploma",NA
"647",647,944,3,50,24,12,"Working class",0,"White","Suburb","Protestant","West","Yes","HS Diploma",0
"648",648,945,5,48,17,14,"Working class",1,"White","Suburb","Protestant","West","Yes","Some College",0
"649",649,947,4,35,19,12,"Lower class",0,"White","Suburb","Catholic","West","No","HS Diploma",0
"650",650,950,3,47,21,12,"Lower class",0,"White","Suburb","Protestant","West","Yes","HS Diploma",0
"651",651,952,3,44,24,18,"Working class",1,"White","Smaller city","Catholic","Northeast","No","Grad/Prof Degree",0
"652",652,954,0,67,NA,12,"Working class",0,"White","Smaller city","Catholic","Northeast","No","HS Diploma",NA
"653",653,955,3,73,21,11,"Middle class",1,"White","Suburb","Protestant","Northeast","Yes","Less Than HS",0
"654",654,957,1,30,24,10,"Working class",1,"White","Suburb","Other","Northeast","No","Less Than HS",0
"655",655,958,1,27,25,17,"Working class",0,"White","Suburb","Other","Northeast","Yes","Grad/Prof Degree",0
"656",656,960,0,23,NA,16,"Middle class",2,"White","Smaller city","None","West","No","College Degree",NA
"657",657,961,0,36,NA,12,"Middle class",0,"White","Smaller city","Catholic","West","Yes","HS Diploma",NA
"658",658,961,0,25,NA,16,"Working class",0,"White","Suburb","Catholic","Northeast","Yes","College Degree",NA
"659",659,965,0,25,NA,16,"Working class",3,"White","Smaller city","Protestant","Northeast","Yes","College Degree",NA
"660",660,966,4,55,21,12,"Working class",0,"White","Smaller city","Catholic","Northeast","Yes","HS Diploma",0
"661",661,967,0,23,NA,12,"Working class",2,"White","Smaller city","Protestant","Northeast","No","HS Diploma",NA
"662",662,968,2,39,27,12,"Working class",0,"White","Smaller city","Protestant","Northeast","Yes","HS Diploma",0
"663",663,970,7,70,21,12,"Working class",0,"White","Smaller city","Catholic","Northeast","Yes","HS Diploma",0
"664",664,975,3,74,28,16,"Upper class",3,"White","Smaller city","Catholic","West","Yes","College Degree",0
"665",665,976,4,64,20,18,"Middle class",4,"White","Smaller city","Catholic","West","Yes","Grad/Prof Degree",0
"666",666,976,2,28,NA,10,"Lower class",0,"White","Smaller city","Catholic","West","Yes","Less Than HS",NA
"667",667,978,0,26,NA,16,"Middle class",2,"White","Smaller city","Protestant","West","No","College Degree",NA
"668",668,981,0,52,NA,17,"Middle class",1,"White","Smaller city","None","West","No","Grad/Prof Degree",NA
"669",669,983,0,38,NA,16,"Middle class",1,"White","Suburb","None","West","Yes","College Degree",NA
"670",670,984,0,31,NA,14,"Working class",1,"Other","Smaller city","Catholic","West","Yes","Some College",NA
"671",671,985,3,73,18,14,"Middle class",1,"White","Suburb","Protestant","West","Yes","Some College",0
"672",672,986,2,34,26,18,"Middle class",5,"White","Suburb","Protestant","West","No","Grad/Prof Degree",0
"673",673,986,2,32,NA,15,"Working class",0,"White","Smaller city","Protestant","West","No","Some College",NA
"674",674,987,2,32,25,14,"Middle class",0,"White","Suburb","Protestant","Midwest","Yes","Some College",0
"675",675,988,3,37,22,12,"Working class",3,"White","Suburb","Catholic","Midwest","No","HS Diploma",0
"676",676,994,3,34,18,14,"Working class",0,"Black","Suburb","Protestant","Midwest","Yes","Some College",0
"677",677,994,2,36,NA,14,"Upper class",0,"Black","Smaller city","Protestant","Southeast","Yes","Some College",NA
"678",678,995,0,25,NA,12,"Working class",2,"Black","Suburb","Protestant","Midwest","Yes","HS Diploma",NA
"679",679,997,4,32,21,14,"Working class",4,"Black","Suburb","Protestant","Midwest","Yes","Some College",0
"680",680,998,2,59,16,6,"Middle class",0,"Black","Suburb","Protestant","Midwest","No","Less Than HS",0
"681",681,999,0,19,NA,11,"Working class",2,"Black","Suburb","Protestant","Midwest","Yes","Less Than HS",NA
"682",682,1000,1,36,31,19,"Middle class",3,"White","Suburb","Jewish","Midwest","No","Grad/Prof Degree",1
"683",683,1001,4,65,23,20,"Upper class",3,"White","Suburb","Jewish","Midwest","Yes","Grad/Prof Degree",0
"684",684,1002,1,34,NA,14,"Working class",1,"Black","Smaller city","Protestant","Southeast","Yes","Some College",NA
"685",685,1003,2,72,NA,8,"Middle class",0,"White","Suburb","Catholic","Southeast","No","Less Than HS",NA
"686",686,1005,2,56,49,20,"Working class",4,"Black","Smaller city","Catholic","Northeast","No","Grad/Prof Degree",1
"687",687,1007,2,51,36,15,"Working class",1,"White","Smaller city","Catholic","Northeast","No","Some College",1
"688",688,1008,3,57,22,13,"Working class",6,"Black","Smaller city","Protestant","Northeast","No","Some College",0
"689",689,1008,2,82,NA,5,"Middle class",0,"White","Suburb","Catholic","Southeast","Yes","Less Than HS",NA
"690",690,1009,2,32,19,13,"Working class",0,"Hispanic","Smaller city","Catholic","Northeast","No","Some College",0
"691",691,1012,1,85,21,8,"Middle class",3,"White","Smaller city","Catholic","Northeast","Yes","Less Than HS",0
"692",692,1015,2,28,25,12,"Working class",0,"White","Smaller city","None","Northeast","Yes","HS Diploma",0
"693",693,1017,3,78,21,13,"Working class",0,"White","Smaller city","Catholic","Northeast","Yes","Some College",0
"694",694,1018,0,20,NA,13,"Middle class",0,"White","Smaller city","None","Northeast","No","Some College",NA
"695",695,1021,2,54,NA,16,"Middle class",0,"White","Suburb","Catholic","Northeast","Yes","College Degree",NA
"696",696,1023,1,34,33,12,"Working class",0,"White","Smaller city","Catholic","Northeast","No","HS Diploma",1
"697",697,1026,0,23,NA,16,"Middle class",0,"White","Smaller city","Catholic","Northeast","No","College Degree",NA
"698",698,1027,0,19,NA,12,"Working class",0,"White","Smaller city","Protestant","Northeast","Yes","HS Diploma",NA
"699",699,1028,1,43,NA,17,"Middle class",2,"White","Suburb","Protestant","Northeast","No","Grad/Prof Degree",NA
"700",700,1031,3,70,22,12,"Middle class",3,"White","Smaller city","Catholic","Northeast","No","HS Diploma",0
"701",701,1034,1,52,32,16,"Middle class",4,"White","Smaller city","Jewish","Northeast","Yes","College Degree",1
